28089 individus au total dans la vague
196 bacs dans le fichier

Id Bac;Nombre d'individus
02722;9376;0;0;0
02722;9515;2;2;2
02722;9542;0;0;0
02722;10531;0;0;0
02722;10632;19;21;19
02722;10988;6;6;6
02722;11138;0;0;0
02722;11299;14;15;14
02722;11319;0;0;0
02722;11359;2;2;2
02722;11360;0;0;0
02722;11379;0;0;0
02722;11382;2;2;2
02722;11424;0;0;0
02722;11452;0;0;0
02722;11604;0;0;0
02722;11800;14;15;14
02722;12104;2;2;2
02722;12499;4;5;4
02722;13041;5;6;5
02722;13661;0;0;0
02722;13783;5;6;5
02722;13965;61;67;61
02722;14109;0;0;0
02722;14302;61;67;61
02722;14323;14;15;14
02722;14894;5;6;5
02722;15575;5;5;5
02722;15734;0;0;0
02722;15872;0;0;0
02722;22688;19;21;19
02722;23174;5;6;5
02722;23576;0;0;0
02722;23610;0;0;0
02722;23840;5;6;5
03185;4566;2;2;2
03185;7294;0;0;0
03185;8672;6;6;6
03185;13475;2;2;2
03185;14217;20;21;20
03185;14258;0;0;0
03185;14333;0;0;0
03185;14636;6;6;6
03185;14867;21;23;21
03185;15786;0;0;0
03185;15827;2;2;2
03185;15901;0;0;0
03185;15952;6;6;6
03185;16097;0;0;0
03185;16144;0;0;0
03185;16253;12;13;12
03185;16302;0;0;0
03185;16325;0;0;0
03185;16338;4;4;4
03185;16415;0;0;0
03185;16422;2;2;2
03185;16423;0;0;0
03185;16427;0;0;0
03185;16470;0;0;0
03185;16753;5;5;5
03185;16884;12;13;12
03185;16925;0;0;0
03185;17129;0;0;0
03185;17147;6;6;6
03185;17188;6;6;6
03185;17492;6;6;6
03185;17719;2;2;2
03185;17731;0;0;0
03185;17936;0;0;0
03185;18123;0;0;0
03185;18220;0;0;0
03185;18284;6;6;6
03185;18431;0;0;0
03185;18472;0;0;0
03185;18475;0;0;0
03185;18543;2;2;2
03185;18594;0;0;0
03185;18610;0;0;0
03185;18729;3;3;3
03185;18798;0;0;0
03185;18904;56;63;56
03185;18930;0;0;0
03185;18931;0;0;0
03185;18934;3;3;3
03185;18998;0;0;0
03185;19053;0;0;0
03185;19064;0;0;0
