258 lignes;;Supports TNS;CODE GROUPE CODIPRESSE;CODE MEDIA CODIPRESSE;Supports CodiPresse;CATEGORY;PERIODICITY
226;1402;TELERAMA;101;434;TELERAMA;MAGAZINES;HEBDOMADAIRE
227;1403;TELERAMA SORTIR;101;402;SORTIR;MAGAZINES IDF;HEBDOMADAIRE
228;7414;TENNIS MAGAZINE;101;436;TENNIS MAGAZINE;MAGAZINES;MENSUEL
229;6123;TERRE SAUVAGE;101;437;TERRE SAUVAGE;MAGAZINES;MENSUEL
230;9336;TETU;101;614;TÊTU ;MAGAZINES;MENSUEL
231;4859;TIERCE MAGAZINE;101;622;TIERCE MAGAZINE;QUOTIDIENS NAT.;QUOTIDIENNE
232;6415;TOP SANTE;101;442;TOP SANTE;MAGAZINES;MENSUEL
233;1405;TOUPIE;101;445;TOUPIE;MAGAZINES;MENSUEL
234;17949;TRIBUNE HEBDOMADAIRE;101;181;LA TRIBUNE;QUOTIDIENS NAT.;HEBDOMADAIRE
235;9679;TV GRANDES CHAINES;101;449;TV GRANDES CHAINES;MAGAZINES;BIMENSUEL
236;6153;TV MAGAZINE NATIONAL;101;452;TV MAGAZINE;MAGAZINES;HEBDOMADAIRE
237;6846;USINE NOUVELLE HEBDO;101;284;L'USINE NOUVELLE;PRESSE PROF. SPECIALIS;HEBDOMADAIRE
238;1864;VALEURS ACTUELLES;101;455;VALEURS ACTUELLES;MAGAZINES;HEBDOMADAIRE
239;19929;VANITY FAIR;101;884;VANITY FAIR;MAGAZINES;MENSUEL
240;1733;VELO MAGAZINE;101;457;VELO MAGAZINE;MAGAZINES;MENSUEL
241;4500;VERSION FEMINA;101;459;VERSION FEMINA;MAGAZINES;HEBDOMADAIRE
242;7960;VIE;101;182;LA VIE;MAGAZINES;HEBDOMADAIRE
243;8938;VIE PRATIQUE FEMININ;101;588;VIE PRATIQUE FEMININ;MAGAZINES;MENSUEL
244;8939;VIE PRATIQUE SANTE;101;587;VIE PRATIQUE SANTE;MAGAZINES;BIMESTRIEL
245;19780;VITAL;101;889;VITAL;MAGAZINES;BIMESTRIEL
246;1308;VOGUE;101;462;VOGUE;MAGAZINES;MENSUEL
247;5538;VOGUE HOMMES INTERNAT.;101;463;VOGUE HOMMES INTERNATIONAL;MAGAZINES;SEMESTRIEL
248;6212;VOICI;101;464;VOICI;MAGAZINES;HEBDOMADAIRE
249;1313;VOTRE BEAUTE;101;467;VOTRE BEAUTE;MAGAZINES;MENSUEL
250;14699;VSD;101;469;VSD;MAGAZINES;HEBDOMADAIRE
251;8576;WEEK END;101;623;WEEK END;QUOTIDIENS NAT.;QUOTIDIENNE
252;1769;WIND;101;782;WIND MAGAZINE;MAGAZINES;MENSUEL
253;6104;WINNIE ET SES AMIS;101;695;WINNIE;MAGAZINES;MENSUEL
254;1322;YOUPI;101;472;YOUPI;MAGAZINES;MENSUEL
255;19449;01 NET;101;868;01 NET LE MAGAZINE DE LA HIGH-TECH PLAISIR;MAGAZINES;BIMENSUEL
256;2280;100 IDEES DECO;101;653;100 IDEES DECO;MAGAZINES;BIMESTRIEL
257;15940;20 MINUTES TED ;101;754;20 MINUTES RÉSEAU NATIONAL;PRESSE QUOT.GRATUITE INFO;QUOTIDIENNE
258;8108;20 MINUTES TED SUP IRRE;101;681;20 MINUTES SUPPLEMENT;PRESSE QUOT.GRATUITE INFO;QUOTIDIENNE
259;0;PQR 86;101;0;PQR 86;;QUOTIDIENNE
